epoch,mean_mse_loss
1,0.065512
2,0.020177
3,0.016181
4,0.013900
5,0.012863
6,0.010726
7,0.009668
8,0.009166
9,0.008308
10,0.007524
11,0.007228
12,0.006177
13,0.006387
14,0.005935
15,0.005627
16,0.005210
17,0.005033
18,0.004869
19,0.004648
20,0.004536
21,0.004426
22,0.004254
23,0.004041
24,0.004136
25,0.004060
26,0.003938
27,0.003913
28,0.003547
29,0.003635
30,0.003640
31,0.003692
32,0.003424
33,0.003473
34,0.003176
35,0.003315
36,0.003463
37,0.003286
38,0.003269
39,0.002975
40,0.003195
41,0.003011
42,0.003042
43,0.002809
44,0.002897
45,0.003086
46,0.002889
47,0.003205
48,0.002950
49,0.002950
50,0.003267
51,0.002835
52,0.002703
53,0.003174
54,0.002571
55,0.002857
56,0.002791
57,0.002710
58,0.002598
59,0.002732
60,0.002676
61,0.002631
62,0.002704
63,0.002705
64,0.002701
65,0.002493
66,0.002702
67,0.002596
68,0.002693
69,0.002531
70,0.002627
71,0.002405
72,0.002567
73,0.002526
74,0.002424
75,0.002765
76,0.002564
77,0.002584
78,0.002486
79,0.002580
80,0.002339
81,0.002404
82,0.002661
83,0.002421
84,0.002317
85,0.002339
86,0.002702
87,0.002379
88,0.002467
89,0.002511
90,0.002383
91,0.002470
92,0.002289
93,0.002443
94,0.002353
95,0.002367
96,0.002273
97,0.002382
98,0.002518
99,0.002418
100,0.002533
